证券简称,id,year,YBR,x2,x4,OCFDR,ROE,CLTLR,CATAR,DER,DR,YoO,RDR,TAT,IFR,GIC
凌志软件,688588,2018,0,6.0805,5.9669,1.1118,15.5866,100,66.8967,0.124032433,11.0018,15,0.123916005,0.6905,0.197029634,1.220505548
力合微,688589,2021,0,8.5824,7.9191,0.0304,5.6848,97.8965,93.0842,0.124593672,11.079,19,0.166124311,0.365,0.116033508,0.779111156
力合微,688589,2020,0.0268245,2.9983,2.5298,0.2154,18.0317,98.8398,89.3873,0.43189617,30.1625,18,0.227040603,0.7675,0.109477212,1.47082829
力合微,688589,2019,0.053159443,2.4562,1.8594,-0.0624,10.8731,98.1899,87.9131,0.573632527,36.4528,17,0.264829616,0.6139,0.127114137,1.394235299
力合微,688589,2018,0.049193787,3.9859,3.0421,0.0043,6.7043,88.3734,84.8699,0.317420302,24.0941,16,0.302446209,0.5154,0.099911724,1.198116835
新致软件,688590,2021,0.352734946,2.213,1.9705,0.0351,10.1695,96.4554,88.8442,0.804276468,41.6227,27,0.090327487,0.6361,0.147268368,0.961154012
新致软件,688590,2020,0.345888785,1.7617,1.5226,-0.025,15.2497,96.9197,83.9171,1.193791777,49.1488,26,0.092089801,0.8944,0.10758507,1.125172085
新致软件,688590,2019,0.462713524,1.7695,1.4802,0.0586,13.2889,95.9277,79.8568,1.108231402,47.0445,25,0.088252082,0.9252,0.107533726,1.128102941
新致软件,688590,2018,0.486688264,1.8149,1.4882,-0.0897,9.8303,90.6643,79.9893,1.140333473,48.6121,24,0.087190989,0.9576,0.078159375,1.241370421
芯海科技,688595,2021,0,6.5011,5.5791,0.3063,15.8189,80.9724,84.481,0.190924302,16.0484,18,0.287885678,0.5316,0.142027566,1.403974456
芯海科技,688595,2020,0.148969745,4.2193,3.3911,-0.0318,17.8222,82.7736,74.544,0.270846838,21.3441,17,0.232954725,0.8194,0.072881426,1.178343775
芯海科技,688595,2019,0.05814302,3.7724,3.0467,0.1104,14.1107,81.4851,83.024,0.370147013,27.0092,16,0.251036783,0.7932,0.102573938,1.337598848
芯海科技,688595,2018,0.097639553,3.6626,3.1714,0.3027,10.7004,79.0857,84.0828,0.409006625,29.028,15,0.385968167,0.7449,0.060602798,1.574226205
力芯微,688601,2021,0,4.2425,3.2625,0.6008,22.3474,99.0355,94.6647,0.291951643,22.5307,19,0.082139754,1.3514,0.140212563,1.143827311
力芯微,688601,2020,0.002388758,3.5083,2.6145,0.0544,15.6609,97.9293,94.6986,0.384069366,27.5637,18,0.103357814,1.3255,0.262076965,1.378215865
力芯微,688601,2019,0.005198367,3.9148,2.952,0.5102,10.7011,95.423,94.1217,0.340910392,25.196,17,0.09101345,1.1092,0.209604425,1.141625253
力芯微,688601,2018,0,4.7363,3.5107,0.1201,9.6307,96.145,94.4343,0.261635151,20.7378,16,,1.0417,0.204560117,
恒玄科技,688608,2021,0,23.3797,22.6918,1.0434,6.5934,91.1203,99.2449,0.04886219,4.6586,6,0.266071135,0.3319,0.032262314,1.635485652
恒玄科技,688608,2020,0.005898773,5.5678,4.1477,0.5181,21.1841,98.4312,94.5232,0.20842028,17.2473,5,0.401153619,1.5328,0.004389467,1.966451492
恒玄科技,688608,2019,0,1.9695,1.1132,-0.1516,2.1173,97.4674,90.4628,0.891295519,47.1262,4,1.031626533,2.0325,-0.307874859,3.901766027
罗普特,688619,2021,0.058803432,1.6568,1.4888,0.1112,28.9559,96.2429,79.1862,1.003523264,49.6607,15,0.075168197,0.5576,0.101433535,1.216886009
罗普特,688619,2020,0.139690509,1.5993,1.4403,-0.223,26.6218,94.0614,74.2719,1.000064165,49.3724,14,0.092867261,0.7049,0.07284018,1.392057117
罗普特,688619,2019,0.131650497,1.8421,1.6379,-0.8529,20.4461,90.3828,66.0572,0.658082135,39.6765,13,0.150155468,0.8427,0.105565385,1.862623887
罗普特,688619,2018,0.16271311,2.4798,2.0247,0.2665,14.7254,98.0788,87.5057,0.563059726,35.9788,12,,0.5238,0.103429733,
迅捷兴,688655,2021,0.011755148,1.7028,1.5181,0.2759,15.8772,98.0983,56.671,0.51344762,33.9257,16,0.073167107,0.8428,0.170531734,1.153215583
